customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,status
1,Marysa Joline,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,Active
2,Maddie Lindie,Prefer not to say,69,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,South Australia,Australia,Non Active
3,Dionne Austina,Prefer not to say,59,269 Gemma SummitSuite 109,5661,Aliburgh,Australian Capital Territory,Australia,Non Active
4,Consuela Mignonne,Prefer not to say,67,743 Bailey GroveSuite 141,1729,South Justinhaven,Queensland,Australia,Non Active
5,Danni Pearle,Prefer not to say,30,48 Hyatt ManorSuite 375,4032,Griffithsshire,Queensland,Australia,Non Active
6,Shae Helenka,Prefer not to say,40,7118 Mccullough SquareSuite 639,9996,Blakehaven,New South Wales,Australia,Non Active
7,Johannah Merrilee,Prefer not to say,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,Active
8,Kelli Almeria,Prefer not to say,75,383 Muller SummitSuite 809,7681,Samside,Northern Territory,Australia,Non Active
9,Alyse Clarine,Male,51,57 Greenfelder HillApt. 077,2,Beierport,Northern Territory,Australia,Non Active
10,Kassie Pavla,Prefer not to say,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia,Active
11,Minny Larina,Prefer not to say,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia,Active
12,Lynde Pollyanna,Prefer not to say,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,Active
13,Muire Yoshiko,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia,Active
14,Diandra Orelie,Prefer not to say,36,403 Doherty RunSuite 497,2050,North Benjaminville,New South Wales,Australia,Non Active
15,Joanie Callie,Prefer not to say,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia,Active
16,Gerti Koressa,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia,Active
17,Audry Andy,Prefer not to say,32,29 Imogen CrestSuite 275,8309,Lake Graceside,Australian Capital Territory,Australia,Non Active
18,Bryana Lorri,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia,Active
19,Lin Toni,Prefer not to say,41,002 Beau PlazaApt. 308,7053,West Bailey,Victoria,Australia,Active
20,Jaclin Katinka,Prefer not to say,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia,Active
21,Missie Marin,Prefer not to say,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,Active
22,Henka Sharlene,Prefer not to say,20,292 Casper IslandSuite 778,6624,Maxberg,Victoria,Australia,Active
23,Cicely Adelina,Female,32,682 Rose CircleApt. 514,1832,North Mia,Tasmania,Australia,Active
24,Louella Madelene,Prefer not to say,49,75 Williamson MewsSuite 864,4359,Charliebury,Northern Territory,Australia,Non Active
25,Caressa Alisha,Prefer not to say,75,02 Gabriella PlazaApt. 474,9311,Olivershire,Victoria,Australia,Active
26,Lorita Paige,Prefer not to say,50,499 Darcy CrestApt. 192,8816,New Oliverside,New South Wales,Australia,Active
27,Tonia Dacey,Prefer not to say,55,6578 Kayla AvenueSuite 812,3462,Lake Alanafort,Western Australia,Australia,Active
28,Julia Clemmy,Prefer not to say,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia,Active
29,Tami Helen-elizabeth,Male,20,52 Kayla CircuitSuite 332,5308,North Matildamouth,Queensland,Australia,Non Active
30,Kesley Sallie,Female,38,612 Jessica TerraceApt. 847,7110,Jetttown,Australian Capital Territory,Australia,Non Active
31,Dorree Betti,Prefer not to say,36,471 Bahringer ManorApt. 236,756,Dickensberg,Northern Territory,Australia,Non Active
32,Clary Marie-ann,Prefer not to say,32,98 Becker LoopApt. 567,1822,Port Archiemouth,Queensland,Australia,Non Active
33,Papagena Vinni,Male,44,639 Farrell HillSuite 093,4116,Chaseshire,South Australia,Australia,Non Active
34,Goldarina Linn,Prefer not to say,55,09 Robinson SquareApt. 647,5387,Sauerfort,Western Australia,Australia,Active
35,Lisette Tera,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia,Active
36,Ernaline Donielle,Prefer not to say,27,41 Durgan IslandApt. 820,5691,Hamishfurt,Queensland,Australia,Non Active
37,Anissa Arlyne,Male,75,3307 Walsh JunctionSuite 233,9751,Violetville,Western Australia,Australia,Non Active
38,Gerri Hildy,Male,34,2958 Dooley Station StSuite 879,1920,Lake Lilly,Australian Capital Territory,Australia,Non Active
39,Jordain Elane,Prefer not to say,80,7440 Cameron Estate DrSuite 628,4622,North Victoriachester,Northern Territory,Australia,Non Active
40,Carma Rea,Prefer not to say,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia,Active
41,Paule Cortney,Male,65,647 Violet Estate DrSuite 364,4320,Port Ella,New South Wales,Australia,Active
42,Felicity Bess,Prefer not to say,37,778 Wilkinson RidgeSuite 101,268,Gabriellatown,Victoria,Australia,Active
43,Madel Erina,Prefer not to say,34,75 Keeling JunctionSuite 483,1490,South Kaiview,Queensland,Australia,Non Active
44,Valma Ermentrude,Prefer not to say,60,6308 Amelie MeadowSuite 634,9842,Eliburgh,Tasmania,Australia,Active
45,Shirley Agnesse,Male,27,3101 Thomson ManorApt. 600,1796,Leofurt,Australian Capital Territory,Australia,Active
46,Evaleen Jillian,Prefer not to say,68,708 Daniel MeadowSuite 246,5087,Bartolettiside,Australian Capital Territory,Australia,Active
47,Glennis Mariann,Prefer not to say,54,59 Wood DriveSuite 806,9780,Lake Nicholasfurt,Western Australia,Australia,Active
48,Berri Caterina,Male,79,78 Nguyen MallApt. 116,4761,Heathcotemouth,New South Wales,Australia,Non Active
49,Nady Roanna,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia,Active
50,Benedicta Euphemia,Prefer not to say,63,13 Stokes SummitApt. 125,5725,East Aidan,Western Australia,Australia,Active
51,Lonee Maryanne,Prefer not to say,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,Active
52,Tomi Karola,Male,47,012 Cooper MallApt. 259,841,Chelseahaven,Victoria,Australia,Active
53,Tess Marrilee,Male,51,9369 Casper Estate DrApt. 122,9225,Lake Kaylastad,South Australia,Australia,Non Active
54,Evvy Shalne,Prefer not to say,62,2912 Adams JunctionSuite 740,5575,West Alyssa,Queensland,Australia,Active
55,Alejandra Brigit,Prefer not to say,45,91 Angelina RidgeApt. 435,9871,Lake Phoenixside,South Australia,Australia,Active
56,Jerrylee Rickie,Prefer not to say,33,673 Amelie MewsApt. 346,6829,Brownburgh,New South Wales,Australia,Non Active
57,Constantina Idette,Male,65,84 Natalie RunSuite 762,614,Kellyshire,Australian Capital Territory,Australia,Non Active
58,Junina Philomena,Prefer not to say,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,Active
59,Bevvy Noelle,Male,58,629 Hoppe BoulevardSuite 590,7934,Boylefort,New South Wales,Australia,Non Active
